,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
17,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,no2,6.37,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm25,8.71,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,no2,7.06,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,o3,5.67,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,co,340.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,so2,3.13,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm10,32.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,co,380.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,pm25,9.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Vile Parle West, Mumbai - MPCB",Mumbai,IN,2020-06-22T21:15:00.000Z,2020-06-23T02:45:00+05:30,pm10,32.0,µg/m³,19.108610000000002,72.83622,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
