Location,City,Date/Time,Parameter,Value,LAT,LON
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T22:00:00.000Z,co,450,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T22:00:00.000Z,so2,18.54,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T22:00:00.000Z,no2,25,22.627875,88.3804
IIT,Chennai,2017-06-22T22:00:00.000Z,pm25,19.71,12.99251389,80.23744722
IIT,Chennai,2017-06-22T22:00:00.000Z,o3,13.18,12.99251389,80.23744722
IIT,Chennai,2017-06-22T22:00:00.000Z,co,530,12.99251389,80.23744722
IIT,Chennai,2017-06-22T22:00:00.000Z,so2,2.19,12.99251389,80.23744722
IIT,Chennai,2017-06-22T22:00:00.000Z,no2,13.78,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:45:00.000Z,pm25,14.4,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:45:00.000Z,o3,13.16,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:45:00.000Z,co,790,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:45:00.000Z,so2,1.75,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:45:00.000Z,no2,13.75,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T21:45:00.000Z,pm25,434.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:45:00.000Z,o3,7.9,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:45:00.000Z,co,600,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:45:00.000Z,so2,11.4,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:45:00.000Z,no2,52.9,28.591,77.05
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:30:00.000Z,pm10,62.5,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:30:00.000Z,co,490,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:30:00.000Z,so2,19.74,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:30:00.000Z,o3,15.63,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:30:00.000Z,no2,27.5,22.627875,88.3804
NSIT Dwarka,Delhi,2017-06-22T21:30:00.000Z,so2,11.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:30:00.000Z,pm25,434.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:30:00.000Z,o3,8.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:30:00.000Z,co,600,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:30:00.000Z,no2,113,28.591,77.05
IIT,Chennai,2017-06-22T21:30:00.000Z,pm25,14.4,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:30:00.000Z,o3,13.06,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:30:00.000Z,co,670,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:30:00.000Z,so2,1.72,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:30:00.000Z,no2,14.12,12.99251389,80.23744722
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:00:00.000Z,pm10,62.5,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:00:00.000Z,o3,16.58,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:00:00.000Z,co,480,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:00:00.000Z,so2,22.97,22.627875,88.3804
"Rabindra Bharati University, Kolkata - WBSPCB",Kolkata,2017-06-22T21:00:00.000Z,no2,19.7,22.627875,88.3804
IIT,Chennai,2017-06-22T21:00:00.000Z,pm25,16.95,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:00:00.000Z,o3,13.07,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:00:00.000Z,co,550,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:00:00.000Z,so2,2.31,12.99251389,80.23744722
IIT,Chennai,2017-06-22T21:00:00.000Z,no2,12.13,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T21:00:00.000Z,pm25,434.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:00:00.000Z,o3,8.2,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:00:00.000Z,co,590,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:00:00.000Z,so2,12,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T21:00:00.000Z,no2,75,28.591,77.05
IIT,Chennai,2017-06-22T20:45:00.000Z,pm25,21.35,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:45:00.000Z,o3,13.16,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:45:00.000Z,co,460,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:45:00.000Z,so2,1.55,12.99251389,80.23744722
IIT,Chennai,2017-06-22T20:45:00.000Z,no2,12.07,12.99251389,80.23744722
NSIT Dwarka,Delhi,2017-06-22T20:45:00.000Z,pm25,832.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:45:00.000Z,o3,8.5,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:45:00.000Z,co,630,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:45:00.000Z,so2,12.6,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:45:00.000Z,no2,66.7,28.591,77.05
NSIT Dwarka,Delhi,2017-06-22T20:30:00.000Z,pm25,832.7,28.591,77.05
