,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
17,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,pm25,15.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,pm10,37.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,so2,4.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,o3,10.98,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,no2,5.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,so2,12.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm25,15.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm10,37.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
27,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,o3,10.69,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
28,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,co,280.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
29,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,no2,5.8,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
30,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,o3,7.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
31,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,pm25,14.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
32,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,no2,4.4,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
33,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
34,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,pm10,37.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
35,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T22:15:00.000Z,2020-06-23T03:45:00+05:30,so2,1.4,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
36,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,pm10,46.1,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
37,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
38,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,o3,12.76,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
39,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,no2,4.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
40,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,pm25,18.3,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
41,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T21:00:00.000Z,2020-06-23T02:30:00+05:30,so2,3.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
42,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,co,260.0,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
43,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,o3,17.66,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
44,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,pm10,45.9,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
45,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,no2,4.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
46,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,pm25,16.3,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
47,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:15:00.000Z,2020-06-23T01:45:00+05:30,so2,7.2,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
48,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,pm10,45.5,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
49,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,o3,19.04,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
50,"Bidhannagar, Kolkata - WBPCB",Kolkata,IN,2020-06-22T20:00:00.000Z,2020-06-23T01:30:00+05:30,so2,5.6,µg/m³,22.58157048,88.41002457,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
