,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
17,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T23:15:00.000Z,2020-06-23T04:45:00+05:30,co,720.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,co,720.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,o3,0.68,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,pm10,37.52,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,so2,2.6,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,pm25,3.68,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:45:00.000Z,2020-06-23T04:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,so2,2.92,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm25,3.68,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,co,720.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
27,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,pm10,32.64,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
28,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,o3,0.61,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
29,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-22T22:30:00.000Z,2020-06-23T04:00:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
