,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
17,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T22:45:00.000Z,2020-06-24T04:15:00+05:30,pm10,61.03,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
18,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,pm10,57.06,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
19,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,no2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
20,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
21,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,pm25,8.8,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
22,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,o3,5.75,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
23,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:45:00.000Z,2020-06-24T02:15:00+05:30,co,930.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
24,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,o3,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
25,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,pm10,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
26,"Govt. High School Shikarpur, Patna - BSPCB",Patna,IN,2020-06-23T20:30:00.000Z,2020-06-24T02:00:00+05:30,so2,0.0,µg/m³,25.592539000000002,85.227158,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
